Arrival,date,ID,location,mass,svl,dead,sex,year,Day_of_the_year
First,2021-06-10,BV_SH_0562,T3,17.71,58.63,0,m,2021,161
First,2021-05-10,BV_SH_0656,T1,35.31,68.45,0,f,2021,130
First,2021-05-04,BV_SH_0948,T3,30.28,74.62,0,m,2021,124
First,2021-04-29,BV_SH_1134,T4,24,62.53,0,m,2021,119
First,2021-04-20,BV_SH_1219,T6,32.36,69.84,0,m,2021,110
First,2021-03-31,BV_SH_1222,T2,21,61.51,0,m,2021,90
First,2021-05-04,BV_SH_1357,T4,23,64.42,0,m,2021,124
First,2021-04-20,BV_SH_1441,T2,29.84,67.41,0,m,2021,110
First,2021-04-29,BV_SH_1447,T2,29.37,67.37,0,m,2021,119
First,2021-04-29,BV_SH_1451,T4,20.68,65.959999999999994,0,m,2021,119
First,2021-06-03,BV_SH_1458,T4,15.8,55.84,0,m,2021,154
First,2021-04-25,BV_SH_1461,T1,29.38,64.34,0,m,2021,115
First,2021-04-20,BV_SH_1466,T2,21.63,60.1,0,m,2021,110
First,2021-05-04,BV_SH_1487,T4,19.559999999999999,60.71,0,m,2021,124
First,2021-04-29,BV_SH_1501,T4,20.68,62.4,0,m,2021,119
First,2021-05-04,BV_SH_1507,T4,19.07,64.7,0,m,2021,124
First,2021-04-29,BV_SH_1508,T4,15.08,58.06,0,m,2021,119
First,2021-05-04,BV_SH_1513,T3,NA,NA,0,m,2021,124
First,2021-04-20,BV_SH_1535,S15,29.6,70.92,0,m,2021,110
First,2021-05-26,BV_SH_1578,T3,22.73,58.5,0,m,2021,146
First,2021-05-26,BV_SH_1585,S16,25.85,65.13,0,m,2021,146
First,2021-05-10,BV_SH_1596,T4,20.21,58.98,0,m,2021,130
First,2021-05-10,BV_SH_1597,T1,20.82,64.77,0,f,2021,130
First,2021-04-29,BV_SH_1601,S15,26,59.91,0,f,2021,119
First,2021-04-20,BV_SH_1611,T5,23.66,65.510000000000005,0,m,2021,110
First,2021-05-10,BV_SH_1629,T4,17.91,60.6,0,m,2021,130
First,2021-07-15,BV_SH_1658,T3,23.52,60.16,0,m,2021,196
First,2021-03-31,BV_SH_1771,S15,22.37,62.94,0,m,2021,90
First,2021-03-31,BV_SH_1772,S15,35.47,70.39,0,m,2021,90
First,2021-03-31,BV_SH_1773,S16,32.299999999999997,70.540000000000006,0,m,2021,90
First,2021-03-31,BV_SH_1774,T1,26.7,64.760000000000005,0,m,2021,90
First,2021-03-31,BV_SH_1775,T1,25.71,66.44,0,m,2021,90
First,2021-03-31,BV_SH_1777,T3,22.68,61.76,0,m,2021,90
First,2021-03-31,BV_SH_1779,T4,26.3,65.260000000000005,0,m,2021,90
First,2021-03-31,BV_SH_1780,T5,23.6,62.09,0,m,2021,90
First,2021-04-20,BV_SH_1783,S15,21.71,63.68,0,m,2021,110
First,2021-04-20,BV_SH_1784,S15,34.46,71.150000000000006,0,m,2021,110
First,2021-04-20,BV_SH_1785,T1,21.45,59.66,0,m,2021,110
First,2021-04-20,BV_SH_1786,T1,23.64,64.14,0,m,2021,110
First,2021-04-20,BV_SH_1789,T4,27.16,65.92,0,m,2021,110
First,2021-04-20,BV_SH_1790,T4,18.350000000000001,60.43,0,m,2021,110
First,2021-04-20,BV_SH_1791,T5,24.59,61.47,0,f,2021,110
First,2021-04-20,BV_SH_1792,T6,25.73,62.72,0,m,2021,110
First,2021-04-20,BV_SH_1793,T6,NA,NA,0,m,2021,110
First,2021-04-20,BV_SH_1794,T6,NA,NA,0,f,2021,110
First,2021-04-20,BV_SH_1801,T3,21.89,61.72,0,m,2021,110
First,2021-04-20,BV_SH_1802,T4,17.59,63.98,0,m,2021,110
First,2021-04-20,BV_SH_1803,T4,19.09,56.89,0,m,2021,110
First,2021-04-20,BV_SH_1804,T5,28.42,68.459999999999994,0,m,2021,110
First,2021-04-20,BV_SH_1806,T6,23.69,66.41,0,m,2021,110
First,2021-04-20,BV_SH_1807,T1,25.36,66.44,0,m,2021,110
First,2021-04-20,BV_SH_1808,T1,21.56,67.63,0,m,2021,110
First,2021-04-20,BV_SH_1810,T2,25,64.319999999999993,0,m,2021,110
First,2021-04-25,BV_SH_1811,T1,18.23,60.07,0,m,2021,115
First,2021-04-25,BV_SH_1812,T1,22.58,61.87,0,m,2021,115
First,2021-04-25,BV_SH_1813,T1,21.17,61.91,0,m,2021,115
First,2021-04-25,BV_SH_1814,T1,28,66.06,0,m,2021,115
First,2021-04-25,BV_SH_1815,T1,23.03,62.07,0,m,2021,115
First,2021-04-25,BV_SH_1816,T1,24.67,63.22,0,m,2021,115
First,2021-04-25,BV_SH_1818,T1,NA,NA,0,m,2021,115
First,2021-04-29,BV_SH_1820,T6,20.82,60.76,0,m,2021,119
